<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.04.22	23:00:00	0.68561	0.68562	0.68468	0.68468	556	393735000	22
2016.04.25	00:00:00	0.68364	0.68638	0.68352	0.68519	620	1040250000	0
2016.04.25	01:00:00	0.68519	0.68654	0.68499	0.68637	2337	2027200000	16
2016.04.25	02:00:00	0.68637	0.68651	0.68626	0.68643	479	514438000	20
2016.04.25	03:00:00	0.68643	0.68654	0.68401	0.68461	2464	2537367000	21
2016.04.25	04:00:00	0.68460	0.68519	0.68414	0.68414	2693	2651200000	21
2016.04.25	05:00:00	0.68418	0.68621	0.68418	0.68599	2064	2214884000	21
2016.04.25	06:00:00	0.68599	0.68604	0.68535	0.68563	1909	978050000	21
2016.04.25	07:00:00	0.68565	0.68568	0.68496	0.68519	1514	792700000	21
2016.04.25	08:00:00	0.68519	0.68594	0.68501	0.68582	2333	2571961000	21
2016.04.25	09:00:00	0.68577	0.68752	0.68547	0.68701	3058	2816134000	21
2016.04.25	10:00:00	0.68701	0.68702	0.68601	0.68618	4737	4862339000	21
2016.04.25	11:00:00	0.68618	0.68768	0.68596	0.68715	3832	4117400000	21
2016.04.25	12:00:00	0.68716	0.68724	0.68598	0.68686	3723	4449848000	21
2016.04.25	13:00:00	0.68692	0.68717	0.68653	0.68683	3262	2869384000	21
2016.04.25	14:00:00	0.68682	0.68760	0.68669	0.68697	4183	4213968000	21
2016.04.25	15:00:00	0.68698	0.68728	0.68622	0.68668	4551	4115030000	21
2016.04.25	16:00:00	0.68670	0.68678	0.68539	0.68583	5491	6330660000	21
2016.04.25	17:00:00	0.68583	0.68678	0.68541	0.68603	5165	4532038000	21
2016.04.25	18:00:00	0.68603	0.68626	0.68506	0.68537	3873	3439938000	21
2016.04.25	19:00:00	0.68538	0.68546	0.68444	0.68498	2310	1954350000	21
2016.04.25	20:00:00	0.68497	0.68502	0.68422	0.68461	2649	2735970000	21
2016.04.25	21:00:00	0.68461	0.68496	0.68422	0.68447	2206	2532800000	21
2016.04.25	22:00:00	0.68445	0.68484	0.68430	0.68465	1863	1832550000	21
2016.04.25	23:00:00	0.68468	0.68552	0.68462	0.68524	3051	2677200000	21
2016.04.26	00:00:00	0.68517	0.68579	0.68510	0.68556	908	1089998000	0
2016.04.26	01:00:00	0.68551	0.68633	0.68549	0.68601	1581	1625450000	21
2016.04.26	02:00:00	0.68601	0.68730	0.68594	0.68674	2092	2272800000	21
